Chimpanzee AU Combinations 
10+12+16+25+26
10+12+16+25+26+43+M53+M69+S100+S101
10+12+16+25+26+50
10+12+16+25+26+50+M52+M69+S101
10+12+16+25+26+50+M69+S100+S101
10+12+16+25+26+50+M69+S101
10+12+16+25+26+50+S100
10+12+16+25+26+50+S100+S101
10+12+16+25+26+50+S101
10+12+16+25+26+M51+M69
10+12+16+25+26+M51+S100+S101
10+12+16+25+26+M52
10+12+16+25+26+M52+M69
10+12+16+25+26+M53+M69+S100
10+12+16+25+26+M53+M69+S100+S101
10+12+16+25+26+M53+M69+S101
10+12+16+25+26+M53+S101
10+12+16+25+26+M54+M69+S101
10+12+16+25+26+M69+G85+S100+S101
10+12+16+25+26+M69+S100+S101
10+12+16+25+26+M69+S101
10+12+16+25+26+S100
10+12+16+25+26+S100+S101
10+12+16+25+26+S101
10+12+16+25+27+43+50+M53
10+12+16+25+27+50+G85+S100+S101
10+12+16+25+27+50+M52+M69+S101
10+12+16+25+27+50+M53+M69+S101
10+12+16+25+27+50+M69+S100+S101
10+12+16+25+27+50+M69+S101
10+12+16+25+27+50+S100+S101
10+12+16+25+27+50+S101
10+12+16+25+27+M53+M69+S100+S101
10+12+16+25+27+M69+S100
10+12+16+25+27+M69+S101
10+12+16+25+27+S100
10+12+16+25+27+S100+S101
10+12+16+25+27+S101
10+12+16+25+M51
10+12+16+25+M69+S101
10+12+25+26+M53+M69+S100+S101
10+12+25+M69+S100+S101
10+16+25+26+50+M69+S101
10+16+25+26+50+S101
10+16+25+26+M69
10+16+25+26+M69+G85
10+16+25+26+M69+S100+S101
10+16+25+27+50+M69+S101
10+16+25+27+50+S100+S101
10+16+25+27+M53+M69+S101
10+16+25+27+M69
10+16+25+27+M69+S100+S101
10+16+25+27+M69+S101
10+16+25+27+S101
12+16+19+25+26+M53+M69+S100+S101
12+16+19+25+26+M54+M69+S100+S101
12+16+19+25+26+M69
12+16+19+25+27+M69+S100+S101
12+16+25+26
12+16+25+26+160+S100+S101
12+16+25+26+43+M69+S101
12+16+25+26+43+S101
12+16+25+26+50+M69+S100+S101
12+16+25+26+50+S101
12+16+25+26+M51+M69+S101
12+16+25+26+M51+S101
12+16+25+26+M53+M69
12+16+25+26+M53+M69+S100
12+16+25+26+M53+M69+S100+S101
12+16+25+26+M54+M69
12+16+25+26+M54+M69+S100+S101
12+16+25+26+M54+M69+S101
12+16+25+26+M55+M69+S100+S101
12+16+25+26+M69
12+16+25+26+M69+G85+S101
12+16+25+26+M69+S100
12+16+25+26+M69+S100+S101
12+16+25+26+M69+S101
12+16+25+26+S100
12+16+25+26+S100+S101
12+16+25+26+S101
12+16+25+27+43+S100+S101
12+16+25+27+50+M69+S100+S101
12+16+25+27+50+M69+S101
12+16+25+27+50+S101
12+16+25+27+M53+M69+S100+S101
12+16+25+27+M53+M69+S101
12+16+25+27+M54+M69+S100+S101
12+16+25+27+M69
12+16+25+27+M69+S100
12+16+25+27+M69+S100+S101
12+16+25+27+M69+S101
12+16+25+27+S100+S101
12+16+25+27+S101
12+16+25+M51+M53+M69+S100+S101
12+16+25+M54+M69+S100+S101
12+16+25+M69+S100+S101
12+16+25+S100+S101
12+19+25+26+M51+M69+S100+S101
12+22+25+50+S101
12+22+25+M69
12+25+26+160
12+25+26+160+M52+M69+S100
12+25+26+160+M54+S100+S101
12+25+26+160+M69+S100+S101
12+25+26+160+M69+S101
12+25+26+160+S100+S101
12+25+26+160+S101
12+25+26+M52+M69+S101
12+25+26+M53+M69+S100
12+25+26+M54+M69+S100+S101
12+25+26+M69+S100
12+25+26+M69+S100+S101
12+25+27+160+M69+S101
12+25+27+160+S101
12+25+27+M54+M69+S101
12+25+27+M69
12+25+27+M69+S100+S101
16+19+25+26+M69+S100
16+22+25+26
16+22+25+26+50+S101
16+22+25+26+M69+S100+S101
16+22+25+27+50+S100+S101
16+25+26+50
16+25+26+M51+M69
16+25+26+M51+M69+G85
16+25+26+M51+M69+G85+S100+S101
16+25+26+M51+S100+S101
16+25+26+M53+M69+S101
16+25+26+M69+G85+S100+S101
16+25+26+M69+G85+S101
16+25+26+M69+S100+S101
16+25+26+M69+S101
16+25+26+S100
16+25+26+S101
16+25+27+M51+M54+M69+S101
16+25+27+M52+M69+S101
16+25+27+M53+M69
16+25+27+M53+M69+G84+S101
16+25+27+M53+M69+S100+S101
16+25+27+M69+S100
16+25+27+M69+S100+S101
16+25+27+M69+S101
16+25+27+S101
16+26+27+M69+S100+S101
17+22+25+M69+S100+S101
17+24+50+M51+M69
17+24+50+M52+M53
17+24+50+M52+M53+M69+S101
17+24+50+M52+M53+S101
17+24+50+M52+M69
17+24+50+M53+M69
17+24+50+M54+M69
17+24+50+M69
17+24+50+M69+G85+S100+S101
17+24+50+M69+G85+S101
17+24+50+M69+S100
17+24+50+M69+S100+S101
17+24+50+M69+S101
17+24+50+S100+S101
17+24+50+S101
17+24+M69
17+24+M69+G85
17+24+M69+S101
17+25+50+S100+S101
17+34+M69
17+M69
19+22+25+26+M69
19+22+25+26+S101
19+25+26
19+25+26+M51+M54+M69+S100+S101
19+25+26+M52+M53+M69+S101
19+25+26+M54+M69
19+25+26+M54+M69+S101
19+25+26+M54+S101
19+25+26+M69
19+25+26+M69+S100+S101
19+25+26+M69+S101
19+25+26+S101
22+16+25+26+50+S101
22+25+160+50+S101
22+25+160+M69
22+25+160+M69+S100+S101
22+25+26
22+25+26+160+M51+M54+M69+S100
22+25+26+50
22+25+26+50+160+M69+S100+S101
22+25+26+50+160+S101
22+25+26+50+G84+S100+S101
22+25+26+50+G84+S101
22+25+26+50+G85
22+25+26+50+G85+S100+S101
22+25+26+50+G85+S101
22+25+26+50+M51+M69
22+25+26+50+M51+M69+S101
22+25+26+50+M52
22+25+26+50+M52+M53+M69+S101
22+25+26+50+M52+M69+S100+S101
22+25+26+50+M52+S101
22+25+26+50+M53+M69
22+25+26+50+M54+M69+S100+S101
22+25+26+50+M69
22+25+26+50+M69+G85+S100+S101
